,Pts,Gm1,Gm2,Set1,Set2,Serving,0,1,2,3,4,5
1062,1515,2,3,1,1,1,43241,6,1118,103,113,113
1066,150,3,3,1,1,0,6,1029,102,101,101,1023135
1071,300,3,4,1,1,1,63041,6,1128,101,101,101
1072,400,3,4,1,1,1,6,1039,103,112,101,121
1073,00,4,4,1,1,0,6,1129,101,103,113,111
1074,150,4,4,1,1,0,62941,5,1129,103,112,10403
1075,1515,4,4,1,1,0,4,1029,112,113,113,113
1078,3040,4,4,1,1,0,43241,5,1129,101,101,101
1079,4040,4,4,1,1,0,43041,6,1138,112,101,101
1086,150,5,5,1,1,0,5,1038,113,111,102,10403
1089,4015,5,5,1,1,0,4,1018,101,101,101,102
1096,11,6,6,1,1,1,6,1329,103,113,113,113
1097,12,6,6,1,1,0,43141,4,1139,113,112,101
1098,22,6,6,1,1,0,4,1029,102,112,112,101
1100,33,6,6,1,1,1,6,1328,10403,213,103,102
1101,43,6,6,1,1,0,6,1028,103,113,112,103
1102,44,6,6,1,1,0,63141,5,1137,113,113,113
1103,54,6,6,1,1,1,42941,5,1038,113,133,113
1106,150,0,0,0,0,1,4,1129,102,101,101,101
1122,150,1,1,0,0,1,4,1137,113,112,102,102
1129,4015,2,1,0,0,0,640,113,152,103,153,213
1130,00,2,2,0,0,1,6,1338,10403,112,10453,1113035
1132,300,2,2,0,0,1,6,1138,112,101,103,112
1138,400,3,2,0,0,0,42941,540,1017,22443,112,1532935
1157,5040,4,3,0,0,0,43041,640,1028,141,203,152
1158,00,4,4,0,0,1,4,1029,103,133,133,133
1169,150,5,5,0,0,1,4,1138,10401,202,163,1132935
1171,3015,5,5,0,0,1,6,1027,102,133,101,1032935
1172,4015,5,5,0,0,1,43041,6,114019,202,161,201
1182,31,6,6,0,0,1,62941,6,1127,133,133,113
1186,00,0,0,1,0,0,43141,640,112,15423,212,16128
1192,4040,0,0,1,0,0,43041,540,111,143,11423,15128
1195,150,0,1,1,0,1,43141,6,1029,113,113,112
1200,300,1,1,1,0,0,42941,440,102,142,212,16128
1213,00,2,3,1,0,1,43241,4,1019,103,113,133
1215,1515,2,3,1,0,1,4,1028,103,133,101,101
1223,00,3,4,1,0,1,5,1129,112,132,133,133
1224,150,3,4,1,0,1,62941,4,1128,132,103,133
1225,300,3,4,1,0,1,6,1128,133,131,101,10421
1227,00,4,4,1,0,0,62941,440,102,143,212,161
1228,015,4,4,1,0,0,440,112,151,102,142,212
1229,1515,4,4,1,0,0,42941,440,102,153,212,161
1232,00,5,4,1,0,1,6,1138,103,112,103,1332934
1237,00,0,0,0,0,1,4,1027,10403,133,141,2023135
1238,150,0,0,0,0,1,03341,5,1137,111,101,103
1240,400,0,0,0,0,1,6,1028,113,133,131,1013035
1241,00,1,0,0,0,0,63041,6,1127,103,113,112
1245,00,1,1,0,0,1,6,1338,113,113,112,101
1246,015,1,1,0,0,1,4,1128,101,121,10403,212
1252,150,2,1,0,0,0,6,1028,101,101,102,112
1255,4015,2,1,0,0,0,63141,6,1138,113,113,112
1257,150,2,2,0,0,1,6,1028,101,121,10402,1132935
1258,300,2,2,0,0,1,4,1029,102,19401,10451,1435
1266,150,3,3,0,0,1,52941,5,1137,113,112,101
1267,300,3,3,0,0,1,42941,6,1119,101,101,101
1268,3015,3,3,0,0,1,4,1339,103,131,101,101
1269,4015,3,3,0,0,1,4,1029,113,133,113,111
1270,00,4,3,0,0,0,4,1219,101,102,113,112
1271,015,4,3,0,0,0,43141,5,1037,133,131,1013035
1273,1530,4,3,0,0,0,42941,4,1138,103,112,1013134
1274,1540,4,3,0,0,0,63041,6,1139,112,112,102
1275,00,5,3,0,0,1,3943141,4,1029,113,112,103
1279,00,0,0,1,0,0,6,1338,18453,21452,16452,1432935
1284,00,0,1,1,0,1,4,1028,113,113,111,2023135
1289,015,1,1,1,0,0,63041,5,1138,113,113,111
1292,3030,1,1,1,0,0,43041,4,1018,102,113,113
