,Pts_A,Pts_B,Gm1,Gm2,Set1,Set2,0_dir
300,0,0,5,1,1,0,4
301,15,0,5,1,1,0,6
302,15,15,5,1,1,0,6
303,30,15,5,1,1,0,6
304,40,15,5,1,1,0,6
305,0,0,0,1,0,0,4
306,15,0,0,1,0,0,6
307,30,0,0,1,0,0,4
309,0,0,1,2,0,0,6
310,15,0,1,2,0,0,6
312,30,15,1,2,0,0,6
313,40,15,1,2,0,0,4
314,0,0,2,3,0,0,5
315,15,0,2,3,0,0,6
316,15,15,2,3,0,0,6
317,30,15,2,3,0,0,6
318,30,30,2,3,0,0,6
319,40,30,2,3,0,0,4
320,0,0,3,4,0,0,6
321,15,0,3,4,0,0,4
322,30,0,3,4,0,0,4
323,40,0,3,4,0,0,4
324,0,0,4,5,0,0,6
325,15,0,4,5,0,0,4
326,30,0,4,5,0,0,6
327,30,15,4,5,0,0,4
328,40,15,4,5,0,0,6
329,0,0,1,0,0,1,6
330,15,0,1,0,0,1,4
331,30,0,1,0,0,1,4
332,40,0,1,0,0,1,6
333,0,0,2,1,0,1,4
334,0,15,2,1,0,1,5
335,15,15,2,1,0,1,4
336,30,15,2,1,0,1,4
337,30,30,2,1,0,1,6
338,30,40,2,1,0,1,4
339,40,40,2,1,0,1,4
340,50,40,2,1,0,1,4
341,0,0,3,2,0,1,4
342,0,15,3,2,0,1,4
343,15,15,3,2,0,1,6
344,30,15,3,2,0,1,4
345,40,15,3,2,0,1,4
346,0,0,4,3,0,1,4
347,0,15,4,3,0,1,5
348,15,15,4,3,0,1,6
349,15,30,4,3,0,1,6
350,30,30,4,3,0,1,6
351,40,30,4,3,0,1,4
352,0,0,5,4,0,1,5
353,15,0,5,4,0,1,4
354,30,0,5,4,0,1,6
355,40,0,5,4,0,1,6
356,40,15,5,4,0,1,4
357,0,0,6,5,0,1,6
358,15,0,6,5,0,1,4
359,30,0,6,5,0,1,6
360,30,15,6,5,0,1,4
361,40,15,6,5,0,1,4
362,0,1,6,6,0,1,4
363,1,1,6,6,0,1,6
364,4,1,6,6,0,1,4
365,5,1,6,6,0,1,6
367,6,4,6,6,0,1,6
368,0,0,0,0,0,0,4
369,15,0,0,0,0,0,6
370,30,0,0,0,0,0,6
371,40,0,0,0,0,0,6
372,40,15,0,0,0,0,6
373,40,30,0,0,0,0,4
374,40,40,0,0,0,0,6
375,50,40,0,0,0,0,4
376,0,0,1,1,0,0,6
377,15,0,1,1,0,0,4
378,30,0,1,1,0,0,6
379,30,15,1,1,0,0,4
380,40,15,1,1,0,0,4
381,0,0,3,1,0,0,4
382,0,15,3,1,0,0,6
383,15,15,3,1,0,0,4
384,30,15,3,1,0,0,6
385,40,15,3,1,0,0,4
386,0,0,4,2,0,0,4
387,15,0,4,2,0,0,4
388,30,0,4,2,0,0,6
389,40,0,4,2,0,0,4
390,0,0,5,3,0,0,6
391,15,0,5,3,0,0,6
392,30,0,5,3,0,0,6
393,40,0,5,3,0,0,5
394,0,0,0,1,1,0,6
395,15,0,0,1,1,0,6
396,15,15,0,1,1,0,6
397,15,30,0,1,1,0,4
398,30,30,0,1,1,0,4
399,30,40,0,1,1,0,4
400,0,0,0,3,1,0,6
401,0,15,0,3,1,0,6
402,15,15,0,3,1,0,6
403,30,15,0,3,1,0,6
404,40,15,0,3,1,0,4
405,0,0,1,4,1,0,4
406,15,0,1,4,1,0,4
