,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
125,"4w,",6,b29,f3,b3,b3,b3,f2,b1,f3,b3,b3,s3,s3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"c6x,",4,b38,f1,f1,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"6n,",4,f28,b2,f3,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"6n,",6,f38,b3,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,4,f37,b;2,f+1,f3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,6,f39,b3,b2,f3,s3,s3,b3,b3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"6d,",4,f92,f3,f2,f1,f3,b3,b3,b3,s3,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,6,f38,f3,b2,f3,b3,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,4,f17,f3,b3,s2,f1,f1,f3,s3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,4,b19,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,5,b29,f3,b2,f1,f3,b3,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"6n,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,6,b19,f1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,6,s28,f1,f3,b3,b1,f1,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"6n,",4,b29,f1,f1,f3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,6,f28,f3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"6w,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,4,b38,y1,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"6n,",6,f27,f3,b3,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,4,b27,f1,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,6,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"4w,",c6,f27,b2,f1,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"6x,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"4x,",6,f38,b2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"6w,",4,b37,f3,s2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"6w,",4,f18,f3,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"c4n,",6,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"4x,",6,b28,f;2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"6d,",4,b29,f2,b2,f2,f1,b2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"6w,",5,f19,b1,f1,b3,b3,f3,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,4,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"6n,",6,f28,f2,b2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,6,s29,f3,f3,b3,f2,f2,f3,m3,f3,s2,u+2,m-2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,6,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,6,b29,f2,f1,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,4,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"6n,",4,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,6,f29,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"4w,",6,b29,f1,b1,f1,b2,f1,b1,f3,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,6,r27,s+1,b1,v3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,4,f37,b+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"6w,",5,b29,f2,f1,b1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"6n,",5,f29,b1,f1,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,4,f28,b+3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"4n,",4,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"6d,",5,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,6,b38,b3,f3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"4n,",4,b18,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,4,s38,b3,f2,f1,b2,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,4,f39,b3,f+1,f3,z3,s3,v3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,6,b29,f2,f3,r3,f3,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"6d,",4,b27,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,4,f19,f1,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,6,r28,f+1,f2,v^3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"4d,",5,b18,b2,f1,b1,f3,f2,s1,b1,f2,f3,b3,f3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,4,b28,f3,b1,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"6d,",5,f19,b1,f1,b1,f2,f1,f1,b1,f3,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"6w,",4,b27,f3,s2,b1,f1,b2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"6w,",5,b28,f1,f1,f1,f1,b1,f1,b1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"6n,",5,f18,s1,u+1,b-1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,4,b29,b+1,r1,v3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,4,b29,b3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,5,f29,f3,f3,b3,f;1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"4d,",6,f29,b2,f1,f2,b;3,b+1,b1,v^1,s-2,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,4+,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,4,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,4,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,4,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,"4n,",5,f18,b1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,4+,b38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,6,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,"4w,",4,f37,b3,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,6,r1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"4d,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,"6n,",4,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,6,s39,f3,b3,f3,b1,b1,f1,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,4,s27,f-1,l2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,4,f29,f2,f1,b2,f1,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,"c6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,4,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,4,b28,b+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,4,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,6,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
