,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
116,6,b2,f3,b2,f1,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"6d,",4,b2,f1,fw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"6d,",6,f2,f2,b2,f3,b1,f3,bw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,4,sw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"6w,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,5,b1,f!#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,6,b2,f+3,s1,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"6d,",6,f1,f2,f3,s1,f1,f1,f3,b3,s2,f3,b2,f2,f3,b1,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"c6n,",5,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,4,b2,f1,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"6n,",5,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"6d,",5,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,6,f1,f3,s3,b;3,b1,f2,b+3,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,6,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"4d,",5,b1,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,6,bw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,4,s3,y3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,6,b2,b2,f3,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,6,b2,f2,b2,f2,f3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,5,rw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,4,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,6,b2,f2,b3,b2,f1,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,4,s2,f+1,f3,zn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,6,b2,f1,f2,f2,f2,f2,b2,f3,b3,f2,s2,f1,rd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"4x,",5,f1,f3,b3,b1,f3,b2,f2,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,4,f2,b2,f3,b2,f2,f1,f3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,4,s2,f3,b2,f3,b2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,5,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,6,b2,f1,f1,f1,rn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,5,f2,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"4n,",6,f3,b2,f3,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"5n,",6,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"6w,",4,f3,b2,b1,f2,b1,f2,b2,f3,b1,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,6,r2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"5n,",6,f2,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,5,b2,f3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,6,b2,f3,bn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"6d,",5,b1,f1,m3,o1,fw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,cc5,b2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,4,b2,f1,f3,b1,f!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,6+,b1,vn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"6d,",6,f2,f2,f1,f3,b2,f2,f2,b1,f2,f2,b3,b2,u1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,4,f2,y2,b3,m2,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,6,f2,b3,b2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,5,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,4,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"6n,",5,f3,b3,s2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,c6,b2,f+3,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"6n,",5,f2,f3,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,4,bn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,6,f2,f1,f2,f1,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,6,bn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"5d,",6,b1,f!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,6,f2,b3,s2,s3,s3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,6,b1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,4,b3,b2,f2,f3,b2,f2,f1,f3,f1,f2,f+3,b2,h2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,6,bn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,5,b2,f+3,b2,v1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"4n,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,6,f1,f1,rd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,6,s2,f3,b2,y3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,4,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"6n,",5,f2,f3,b3,b2,f2,b2,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"6w,",4,f3,b+3,r1,v^2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"4n,",6,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,5,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,5,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"6n,",4,f3,b3,b1,f1,f2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"4n,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"5n,",6,f2,f3,b2,f2,f3,b3,b2,f3,b2,u1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,c5,b3,b2,f3,bx#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,6,b2,f2,f3,b2,f1,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,4,bn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"4n,",5,f3,b2,f2,f1,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"4n,",5,f2,f2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,6,b2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"4n,",5,f2,f3,b2,f+1,f2,f^3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,6,b28,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,4,b39,f38,f37,f37,b29,f27,f18,f18,f39,f38,b28,b39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"4n,",6,b18,f28,b19,s29,b38w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"6n,",4,b29,f38,b39,f28,f28,f37,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,5,f29,f18,f18,s38,b38,f37,b19,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,5,f28,f38,b39,f17,f18,s28,f17,b29,f28,f37,b38,f37,b38,f38,b19,s18,f18,b29,f29,u17,f-18,b39*,,,,,,,,,,,,,,,,,,,,,,,
207,4,b29,f28,f19w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"4n,",4x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,4,b18,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,4,f27,f+19,b39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,6,f37,b+39,f2,v17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,4+,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"6d,",4+,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"6n,",4,f37,b37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,6,b18,f29,b39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,5,f39,f19w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"4n,",6,b28,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,5,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,4,f18,b37,b39,f39,b17,f18,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"6w,",5,f27,f38,b29,f27,f39,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,6,f3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,6,f28,b38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"6w,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,4,b28,f27,f18,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"6n,",4,f37,b38,f39,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,c4+,b37,b-3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,6,b17,s38,s18,b18,f39,f37,y17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,6,f29,b18,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,4,f28,f38,b38,f37,b19,b17,f18w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
