,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
175,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,6,s29,f17,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,6,f29,f38,b38,b28,f29,b38,b39,b38,b38,b28,b29,b2d@,,,,,,,,,,,,,,,,,,,,,,,,
178,"6n,",5,b38,b38,b39,f39,s39,u+37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,4,s27,f-38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"4w,",6,b28,f18,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"4n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"4w,",4,b38w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,4,f29,b28,f18,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"4n,",4,b29,b29,f18,r29,f38,b38,s39,b18,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"4n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,4+,s2,z17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,6,b38w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"4d,",4,b29,b29,f39,b39,f39,b38,s38,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"6w,",6,b28,b29,f37,b38,s38,b38,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"4w,",4,b37,b19w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,4,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,6,f38,b28,b39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,4,f27,f+39,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,6,b28,f28,b39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"4d,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
