,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
105,6,s27,f-38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"4d,",4,b29,f38,b37,b28,b28,f28,b+29,b29,b28,f+38,b3,z38,b1,v38,s3,z3n#,,,,,,,,,,,,,,,,,,,,,,,
107,5,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"4x,",4,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,6,s28,f+39,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,6,f29,f37,b29,b28,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,5,b27,f+3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,6,f37,b+37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"4w,",5,f28,b19,f38,b39,b38,s29,f38,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"4n,",c5,b28,f38,b29,f18,f19,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"6n,",5,b17,f19,l2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"4n,",5,b38,b+38,b2,v19,l37,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"5n,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,4,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,4,f29,b38,b28,b19,f28,u17,f+38,b3,z27,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"4+n,",5,b;37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,6,b28,b28,f37,b38,b29,f18,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"4d,",4,b38,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,6,b28,f19,f27,f+18,f17,h27,s-3,z1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,4,b27,f+1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,4,f28,f+38,b3,z29,l2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"6d,",5,f28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"c6n,",5,f27,f37,b28,f18,f18,f19,r3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,6,r28,f+38,s1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,4,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,4,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"6w,",6,b29,b38,b27,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,c5,f29,f38,b28,f19,f28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,5,b29,b18,f39,b28,s28,s3@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,4,b28,f38,b+39,b2,v1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"6d,",5,f28,f37,b+39,b3,z1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"4+w,",6,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"6w,",5,b28,f39,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,4,b39,f27,f+29,f1,v^37,b-1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"6n,",5,f29,f17,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"4n,",5,b38,b38,b28,f39,b29,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,6,b17,f+;39,f1,v17,r-39,s2,z^37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,5,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"4d,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,5,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"6n,",5,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,5,b39,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,5,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"6n,",c5,b38,b37,s39,f38,s38,b37,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"6n,",5,f29,f38,s29,f37,b19,f28,b29,b39,s39,f18,f29,f+29,b2,v17*,,,,,,,,,,,,,,,,,,,,,,,,,
157,"4d,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,6,b27,f+37,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
