,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
86,"4x,",6,f28,f2,f2,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,6,r37,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"4w,",6,f29,f3,b+3,bn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,6+,f2,k3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4,f38,f3,s2,f1,fx#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,c6,b28,f1,f1,f3,b2,f3,b2,f+3,s3,z^1*,,,,,,,,,,,,,,,,,,,,,,,,,
92,"4n,",5,r29,f1,f2,f3,b2,f3,s3,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"4n,",6,b18,f3,b3,b3,b1,f2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"6d,",4,r38,b1,r2,f1,f2,f2,s1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"6n,",5,b18,f3,b1,f3,b1,f1,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"4n,",6,f28,f1,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,6,f29,b2,f2,f2,b2,b3,b1,f1,f3,y2,un#,,,,,,,,,,,,,,,,,,,,,,,,
99,"4d,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"4w,",5,b29,f3,b1,f2,b3,s2,f1,f2,f3,b3,b2,u1w@,,,,,,,,,,,,,,,,,,,,,,
101,"6d,",6,f37,b3,b3,b1,f2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,6,b19,f1,f2,b3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"4n,",4,b27,f2,b3,b2,f3,b2,f1,f2,b2,f2,b2,b1,f2,b1d@,,,,,,,,,,,,,,,,,,,,
104,6,b28,f2,f1,f3,b2,f3,b1,f2,b3,b1,f2,f3,b1,f3,b3,s3,b3,b2,f3,b1*,,,,,,,,,,,,,,,
105,"4x,",4,b28,b1,f3,f2,f2,f3,b1,f2,b3,f3,b3,sw#,,,,,,,,,,,,,,,,,,,,,,
106,"6d,",6,b27,f2,b1,f1,f2,b2,b1,f2,b1,f1,f3,b1,f1,r2,s1,f1w@,,,,,,,,,,,,,,,,,,
107,6,f38,b2,b1,f3,b2,f3,b2,f2,b3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,
108,"4n,",5,f29,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"6w,",4,b29,f1,f2,f3,b1,f2,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"4w,",6,f18,f2,f3,b2,f3,b1,f2,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,
111,6,f28,f1,f2,f1,f3,b2,b2,f1,f3,b1,f3,b3,b1,f1,f3,bn#,,,,,,,,,,,,,,,,,,,
112,"4x,",6,b27,f3,b3,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,6,b27,f+1,f2,z^2,s1,f1,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,4,s38,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,6,b29,b3,b1,f3,y3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,6,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,4,f27,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,5,b29,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,5,f38,b2,f3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,4,b18,f3,b2,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,5,b38,f3,b1,f3,b2,b3,b3,b2,f1,f2,f1,f3,b2,b1,f1*,,,,,,,,,,,,,,,,,,,,
123,4,b39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,6,f28,b1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"4n,",5,b38,b2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"4x,",4,b28,f3,b1,f3,b1,f1,f2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"4n,",5,f28,b3,b2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"4x,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"4n,",c6,f38,b1,f2,b3,sn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,4+,b27,h^2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"4w,",5,f29,f3,b1,f1,f2,b2,f2,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,4,sx#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,6,b27,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"6d,",5,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"4x,",4,f29,f2,f2,f2,b3,b2,f1,f3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,
139,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,6,f3,b3,b2,b2,f1,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
