,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
318672,0,15,0,0,1,0,1,"['4nwdx,', '6', 'b28', '38', 'b37*']",sel_uct,dec_greedy,djoko_bot,B,5,False,True
318683,15,0,0,2,1,0,1,"['4nwdx,', '6', 'f19', '18', 'f18', '28', 'f19', '37', 's37', '28', 'b29', '29*']",sel_uct,dec_greedy,djoko_bot,A,12,False,True
318685,30,15,0,2,1,0,1,"['4nwdx,', '6', 'b18', '29', 'b37*']",sel_uct,dec_greedy,djoko_bot,B,5,False,True
318696,15,0,1,3,1,0,1,"['4nwdx,', '6', 'b27', '38*']",sel_uct,dec_greedy,djoko_bot,A,4,False,True
318715,15,0,3,5,1,0,1,"['4nwdx,', '6', 'b38', '18', 'f19', '18', 'f29', '38', 'b17', '18', 'f18', '28*']",sel_uct,dec_greedy,djoko_bot,A,12,False,True
318755,0,15,2,4,1,1,1,"['4nwdx,', '6', 'b38', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,True
318761,40,50,2,4,1,1,1,"['4nwdx,', '6', 'b29', '38', 's19', '28', 'f28', '19', 'f19', '38', 'b38', '38', 's37', '29', 'f18', '39', 'f38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,18,False,True
318778,0,15,0,0,0,0,1,"['4nwdx,', '6', 'b27', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,True
318805,40,30,2,2,0,0,1,"['4nwdx,', '6', 'b29', '38', 'b28', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,True
318817,40,50,3,3,0,0,1,"['4nwdx,', '6', 'b19', '18', 'v28', '19', 'f18', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
318839,15,0,0,1,0,1,1,"['4nwdx,', '6', 'b29', '38', 'b19', '27', 'b18nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
318855,40,50,1,2,0,1,1,"['4nwdx,', '6', 'b28', '38', 's29', '39', 'f38', '38', 'b38*']",sel_uct,dec_greedy,djoko_bot,B,9,False,True
318864,15,30,1,4,0,1,1,"['4nwdx,', '6', 'b28', '38', 'b39', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,True
318874,30,15,0,0,0,0,1,"['4nwdx,', '6', 'b37', '39*']",sel_uct,dec_greedy,djoko_bot,A,4,False,True
318897,40,0,1,3,0,0,1,"['4nwdx,', '6', 'b29', '39', 'b28', '19', 'f19nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
318905,0,15,2,4,0,0,1,"['4nwdx,', '6', 'b27', '38', 's38', '37', 's39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
318911,40,50,2,4,0,0,1,"['4nwdx,', '6', 'b28', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,True
318921,40,0,0,0,0,1,1,"['4nwdx,', '6', 'f38', '19*']",sel_uct,dec_greedy,djoko_bot,A,4,False,True
318931,30,40,1,1,0,1,1,"['4nwdx,', '6', 'b28', '39', 'b39', '18', 'f18nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
318943,40,0,2,2,0,1,1,"['4nwdx,', '6', 'b28', '38', 'b18', '38', 'f19', '19', 'f18', '38', 'b19', '29', 'f19', '38*']",sel_uct,dec_greedy,djoko_bot,A,14,False,True
318983,15,0,0,0,1,1,1,"['4nwdx,', '6', 'b28', '37*']",sel_uct,dec_greedy,djoko_bot,A,4,False,True
318995,30,15,1,1,1,1,1,"['4nwdx,', '6', 'b28', '38', 'b38', '38', 'b29', '18', 'f18', '28', 'b28', '29', 's29', '18', 'f19', '29', 'r27', '38', 'b39', '38', 'b17', '27', 'f17', '29', 's38', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,26,False,True
319009,30,15,1,3,1,1,1,"['4nwdx,', '6', 'b37', '37*']",sel_uct,dec_greedy,djoko_bot,A,4,False,True
319020,15,30,2,4,1,1,1,"['4nwdx,', '6', 'b29', '38', 'y18', '39', 'b38', '29', 'f17', '17', 'f38', '19', 'f39', '27nwdx']",sel_uct,dec_greedy,djoko_bot,B,14,False,True
319029,15,0,3,5,1,1,1,"['4nwdx,', '6', 'b28', '39', 's38', '19*']",sel_uct,dec_greedy,djoko_bot,A,6,False,True
319057,0,15,1,1,0,0,1,"['4nwdx,', '6', 'b38', '18', 'f29', '27', 'f38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
319059,15,30,1,1,0,0,1,"['4nwdx,', '6', 'b28', '39', 'm28', '29', 'b18', '19*']",sel_uct,dec_greedy,djoko_bot,A,8,False,True
