,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
319247,15,40,2,2,1,1,1,"['4nwdx,', '6', 'f28', '19*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
319249,40,40,2,2,1,1,1,"['4nwdx,', '6', 'f38', '18', 'f39', '18', 'f29', '38', 'm29', '39', 'b39', '28', 'f38', '19*']",sel_uct,dec_greedy,djoko_bot,A,14,False,False
319284,30,0,5,5,1,1,1,"['4nwdx,', '6', 'f39', '17*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
319296,4,0,6,6,1,1,1,"['4nwdx,', '6', 'f27', '39', 's39nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,False
319305,0,0,0,1,0,0,1,"['4nwdx,', '5', '18', 'f18*']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
319316,0,0,1,2,0,0,1,"['4nwdx,', '6', '27', 'b39', '38', 'f28', '39', 'b29', '17', 'r17', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,11,False,False
319370,15,15,5,6,0,0,1,"['4nwdx,', '6', 'f17', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
319379,0,0,0,1,0,1,1,"['6nwdx,', '4', '29', 'f18*']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
319383,40,15,0,1,0,1,1,"['4nwdx,', '6', 'f29', '29', 's38', '39', 'b39', '29', 'f28', '29', 'f28', '17', 'f19', '18*']",sel_uct,dec_greedy,djoko_bot,A,14,False,False
319412,30,0,2,3,0,1,1,"['4nwdx,', '6', 'f29', '27', 'b38', '27', 'f38', '27', 's38', '19', 'r28', '18', 'f18', '28', 'f28', '37', 'b39', '28', 'b29', '38', 'b18nwdx']",sel_uct,dec_greedy,djoko_bot,A,21,False,False
319454,40,40,5,4,0,1,1,"['4nwdx,', '6', 'f29', '27', 'f28', '29', 'v19', '29', 'f39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,10,False,False
319496,0,0,3,0,1,1,1,"['4nwdx,', '4', '19', 'f18nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
319519,0,0,4,3,1,1,1,"['4nwdx,', '6', '28', 'f28', '17', 'f18', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,False,False
319535,0,0,5,4,1,1,1,"['6nwdx,', '6', '19', 'f28', '29', 'f39', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,False,False
319539,40,15,5,4,1,1,1,"['4nwdx,', '6', 'f17', '39', 'b19*']",sel_uct,dec_greedy,djoko_bot,B,5,False,False
319568,0,0,2,3,0,0,1,"['4nwdx,', '6', '27', 'f28', '17', 'f38', '17', 'f17', '18', 'f38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,11,False,False
319570,0,30,2,3,0,0,1,"['4nwdx,', '6', 'r29', '29', 'f18', '38', 'b39', '28', 'o28', '19', 'f29', '19', 'f17', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,14,False,False
319601,30,0,0,2,0,1,1,"['4nwdx,', '6', 'f29', '27', 'b19', '38', 'b27nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,False
319629,0,30,2,4,0,1,1,"['4nwdx,', '6', 'f38', '19', 'f39', '28', 'b39*']",sel_uct,dec_greedy,djoko_bot,B,7,False,False
319633,40,40,2,4,0,1,1,"['4nwdx,', '6', 'f38', '18', 'r17', '38', 'f38', '38', 'b27', '38*']",sel_uct,dec_greedy,djoko_bot,A,10,False,False
319682,30,30,2,4,0,0,1,"['4nwdx,', '6', 'f27', '38', 'b28', '38*']",sel_uct,dec_greedy,djoko_bot,A,6,False,False
319692,30,0,3,5,0,0,1,"['4nwdx,', '6', 'f37', '37', 'b38', '19*']",sel_uct,dec_greedy,djoko_bot,A,6,False,False
319733,30,0,1,5,0,1,1,"['4nwdx,', '6', 'f28', '18*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
319743,15,15,0,0,0,0,1,"['4nwdx,', '6', 'f29', '28', 'f18', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,False
319757,40,40,1,1,0,0,1,"['4nwdx,', '6', 'f29', '29', 'f27', '28', 'f17', '29', 'b18', '18', 'f37', '29', 'f39', '28', 's38', '19', 'f17', '18', 'f17', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,20,False,False
319766,30,0,3,1,0,0,1,"['4nwdx,', '6', 'f27', '37', 's38nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,False
319768,30,30,3,1,0,0,1,"['4nwdx,', '6', 'f28', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
319804,30,0,0,0,1,0,1,"['4nwdx,', '6', 'f28', '19', 'f39nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,False
319806,40,15,0,0,1,0,1,"['4nwdx,', '6', 'f28', '19', 'f39*']",sel_uct,dec_greedy,djoko_bot,B,5,False,False
