,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
334156,40,40,0,1,0,1,1,"['4', 'b37', '17', 'f38*']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
334166,0,30,0,3,0,1,1,"['4', 'b29', '19', 'f38', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
334192,15,15,2,5,0,1,1,"['4', 'b38', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
334194,40,15,2,5,0,1,1,"['4', 'f38', '18', 'f27', '17', 'l37', '29', 'f38', '39', 'b29nwdx']",sel_uct,dec_greedy,djoko_bot,A,10,True,False
334204,0,0,0,0,0,0,1,"['4', '39', 'b39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
334208,40,15,0,0,0,0,1,"['4', 'b19', '38', 'b37', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
334225,0,0,2,0,0,0,1,"['4', '39', 'b29', '19*']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
334227,0,30,2,0,0,0,1,"['4', 's39', '39', 'b39*']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
334237,0,0,3,1,0,0,1,"['6', '37', 'b38', '18', 'f39', '39', 'b29nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,True,False
334241,15,40,3,1,0,0,1,"['4', 'b38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
334249,40,40,3,1,0,0,1,"['4', 'b27', '28', 'f18*']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
334251,40,40,3,1,0,0,1,"['4', 'b38', '19', 'f19', '38*']",sel_uct,dec_greedy,djoko_bot,A,5,True,False
334272,0,0,4,4,0,0,1,"['6', '38', 'b38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
334276,30,30,4,4,0,0,1,"['4', 'b27', '28', 'f28', '37*']",sel_uct,dec_greedy,djoko_bot,A,5,True,False
334285,30,0,5,5,0,0,1,"['4', 'b27', '29', 's28', '28', 'f28', '38', 'm39', '29', 'f38', '38', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,12,True,False
334287,40,15,5,5,0,0,1,"['4', 'b39', '18*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
334302,5,3,6,6,0,0,1,"['4', 'b28', '37', 'f19nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
334312,0,0,1,0,1,0,1,"['4', '38', 'b29', '18', 'f19', '28', 'f39nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,True,False
334314,15,15,1,0,1,0,1,"['4', 's28', '38', 'b37*']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
334332,30,30,1,2,1,0,1,"['4', 'b27', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
334340,0,0,2,3,1,0,1,"['6', '39', 'm19', '18', 'f18', '19', 'f17', '29', 'f38', '39', 'f39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,12,True,False
334342,30,0,2,3,1,0,1,"['4', 's29', '19', 'f28nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
334350,0,0,3,4,1,0,1,"['4', '38', 'b39', '29', 'o39', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,True,False
334352,0,30,3,4,1,0,1,"['4', 's37', '28', 'f17', '29', 's29', '28', 'f29', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,True,False
334354,30,30,3,4,1,0,1,"['4', 's29', '17*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
334356,40,40,3,4,1,0,1,"['4', 'b38', '19', 'f29', '19', 'f19', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,True,False
334363,0,0,4,5,1,0,1,"['6', '37', 'f38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
334367,40,15,4,5,1,0,1,"['4', 'b37', '17', 'f19', '39', 'b39', '37', 's29', '19', 'f18', '38', 'y19', '18*']",sel_uct,dec_greedy,djoko_bot,A,13,True,False
334372,0,0,5,6,1,0,1,"['6', '39', 'b19', '18', 'f17', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,True,False
334387,4,6,6,6,1,0,1,"['4', 'b37', '19*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
334408,0,0,1,2,1,1,1,"['6', '38', 'b39', '38', 's39', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,True,False
334410,15,15,1,2,1,1,1,"['4', 'b38', '18', 'f18', '18', 'f17', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,True,False
334412,30,30,1,2,1,1,1,"['4', 'b29', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
334414,40,40,1,2,1,1,1,"['4', 'b37', '18*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
